AGLOMERADO,CH03,CH04,CH06,CH07,CH08,CH09,CH15,es_estudiante,ESTADO,CAT_OCUP,CAT_INAC,IV1,IV2,IV6,IV8,II8,IX_TOT,V2,V14,EDUC,horastrab,EDAD_2,ITF,ANIO,pobre
18.0,1.0,1,36.0,1.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,9.0,46.0,1296.0,700.0,2005.0,1
18.0,2.0,0,35.0,1.0,0,1.0,2.0,0,3.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,7.0,0.0,1225.0,700.0,2005.0,1
18.0,3.0,0,15.0,5.0,0,1.0,3.0,1,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,10.0,0.0,225.0,700.0,2005.0,1
18.0,3.0,1,12.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,8.0,0.0,144.0,700.0,2005.0,1
18.0,3.0,1,10.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,5.0,0.0,100.0,700.0,2005.0,1
18.0,1.0,1,53.0,2.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,17.0,60.0,2809.0,3800.0,2005.0,0
18.0,2.0,0,52.0,2.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,17.0,30.0,2704.0,3800.0,2005.0,0
18.0,3.0,1,16.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,11.0,0.0,256.0,3800.0,2005.0,0
18.0,1.0,0,84.0,4.0,1,1.0,1.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0,7056.0,279.0,2005.0,1
18.0,5.0,0,19.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,0.0,361.0,279.0,2005.0,1
